nombre;Metropolitana;Inf;Sup
2020-03-16;2,76;2,06;4,95
2020-03-17;2,55;1,92;4,52
2020-03-18;2,56;1,92;4,52
2020-03-19;2,67;2,02;4,7
2020-03-20;2,65;2;4,68
2020-03-21;2,53;1,89;4,5
2020-03-22;2,43;1,79;4,38
2020-03-23;2,33;1,68;4,25
2020-03-24;2,05;1,53;3,57
2020-03-25;1,98;1,49;3,41
2020-03-26;1,85;1,37;3,24
2020-03-27;1,77;1,34;3,03
2020-03-28;1,68;1,28;2,82
2020-03-29;1,49;1,13;2,46
2020-03-30;1,58;1,24;2,56
2020-03-31;1,52;1,19;2,44
2020-04-01;1,34;1,07;2,08
2020-04-02;1,35;1,08;2,09
2020-04-03;1,3;1,03;2,01
2020-04-04;1,32;1,04;2,07
2020-04-05;1,25;0,99;1,92
2020-04-06;1,15;0,94;1,69
2020-04-07;1,06;0,87;1,53
2020-04-08;1,15;0,94;1,7
2020-04-09;1,16;0,94;1,71
2020-04-10;1,34;1,09;2,03
2020-04-11;1,42;1,17;2,12
2020-04-12;1,32;1,07;1,99
2020-04-13;1,31;1,07;1,98
2020-04-14;1,34;1,09;2,03
2020-04-15;1,3;1,06;1,96
2020-04-16;1,31;1,06;1,98
2020-04-17;1,22;1;1,82
2020-04-18;1,26;1,03;1,87
2020-04-19;1,17;0,95;1,74
2020-04-20;1,12;0,91;1,64
2020-04-21;0,93;0,78;1,23
2020-04-22;0,93;0,78;1,24
2020-04-23;1,01;0,83;1,4
2020-04-24;1,11;0,93;1,55
2020-04-25;1,18;0,98;1,7
2020-04-26;1,14;0,96;1,59
2020-04-27;1,13;0,95;1,58
2020-04-28;1,2;1,01;1,7
2020-04-29;1,27;1,06;1,86
2020-04-30;1,42;1,19;2,07
2020-05-01;1,58;1,4;1,87
2020-05-02;1,7;1,48;2,09
2020-05-03;1,72;1,45;2,21
2020-05-04;1,65;1,39;2,18
2020-05-05;1,64;1,39;2,19
2020-05-06;1,51;1,28;2,01
2020-05-07;1,46;1,26;1,91
2020-05-08;1,38;1,21;1,76
2020-05-09;1,24;1,11;1,54
2020-05-10;1,24;1,13;1,47
2020-05-11;1,19;1,1;1,37
2020-05-12;1,17;1,09;1,32
2020-05-13;1,33;1,25;1,46
2020-05-14;1,39;1,28;1,54
2020-05-15;1,4;1,26;1,59
2020-05-16;1,36;1,22;1,58
2020-05-17;1,31;1,18;1,54
2020-05-18;1,31;1,19;1,53
2020-05-19;1,39;1,27;1,62
2020-05-20;1,41;1,27;1,65
2020-05-21;1,4;1,25;1,65
2020-05-22;1,41;1,26;1,68
2020-05-23;1,41;1,26;1,68
2020-05-24;1,38;1,23;1,65
2020-05-25;1,43;1,28;1,7
2020-05-26;1,33;1,18;1,59
2020-05-27;1,24;1,12;1,47
2020-05-28;1,19;1,1;1,39
2020-05-29;1,11;1,04;1,26
2020-05-30;1,09;1,04;1,2
2020-05-31;1,12;1,07;1,2
2020-06-01;1,11;1,06;1,18
2020-06-02;1,07;1,02;1,12
2020-06-03;1,06;1,03;1,11
2020-06-04;1,04;1,01;1,08
2020-06-05;1,04;1,01;1,07
2020-06-06;1,06;1,04;1,09
2020-06-07;1,09;1,06;1,11
2020-06-08;1,03;1;1,06
2020-06-09;1,02;1;1,05
2020-06-10;1,04;1,02;1,06
2020-06-11;1,06;1,04;1,08
2020-06-12;1,13;1,11;1,16
2020-06-13;1,14;1,1;1,18
2020-06-14;1,12;1,08;1,18
2020-06-15;1,1;1,06;1,16
2020-06-16;1,11;1,07;1,18
2020-06-17;1,05;1,01;1,11
2020-06-18;0,99;0,96;1,04
2020-06-19;0,95;0,94;0,98
2020-06-20;0,91;0,9;0,93
2020-06-21;0,87;0,84;0,89
2020-06-22;0,86;0,82;0,89
2020-06-23;0,83;0,78;0,87
2020-06-24;0,82;0,76;0,86
2020-06-25;0,85;0,78;0,91
2020-06-26;0,81;0,74;0,86
2020-06-27;0,82;0,74;0,87
2020-06-28;0,8;0,73;0,86
2020-06-29;0,81;0,74;0,87
2020-06-30;0,84;0,76;0,9
2020-07-01;0,82;0,75;0,88
2020-07-02;0,77;0,7;0,82
2020-07-03;0,78;0,71;0,84
2020-07-04;0,78;0,7;0,85
2020-07-05;0,79;0,71;0,86
2020-07-06;0,78;0,7;0,84
2020-07-07;0,76;0,68;0,82
2020-07-08;0,78;0,69;0,85
2020-07-09;0,84;0,75;0,92
2020-07-10;0,84;0,75;0,9
2020-07-11;0,8;0,73;0,85
2020-07-12;0,8;0,73;0,86
2020-07-13;0,82;0,74;0,88
2020-07-14;0,81;0,74;0,88
2020-07-15;0,82;0,75;0,88
2020-07-16;0,81;0,74;0,87
2020-07-17;0,84;0,77;0,9
2020-07-18;0,85;0,78;0,91
2020-07-19;0,79;0,73;0,84
2020-07-20;0,77;0,71;0,83
2020-07-21;0,79;0,72;0,86
2020-07-22;0,83;0,75;0,91
2020-07-23;0,83;0,76;0,91
2020-07-24;0,81;0,74;0,87
2020-07-25;0,82;0,75;0,89
2020-07-26;0,85;0,78;0,92
2020-07-27;0,87;0,8;0,94
2020-07-28;0,89;0,83;0,95
2020-07-29;0,9;0,85;0,96
2020-07-30;0,87;0,83;0,92
2020-07-31;0,85;0,81;0,9
2020-08-01;0,86;0,82;0,92
2020-08-02;0,88;0,83;0,94
2020-08-03;0,87;0,82;0,92
2020-08-04;0,86;0,81;0,91
2020-08-05;0,89;0,83;0,94
2020-08-06;0,92;0,86;0,97
2020-08-07;0,91;0,86;0,96
2020-08-08;0,92;0,87;0,96
2020-08-09;0,92;0,87;0,96
2020-08-10;0,92;0,87;0,96
2020-08-11;0,92;0,88;0,97
2020-08-12;0,89;0,85;0,93
2020-08-13;0,89;0,85;0,93
2020-08-14;0,91;0,87;0,96
2020-08-15;0,9;0,85;0,94
2020-08-16;0,91;0,86;0,95
2020-08-17;0,9;0,86;0,95
2020-08-18;0,9;0,85;0,94
2020-08-19;0,88;0,84;0,93
2020-08-20;0,89;0,85;0,95
2020-08-21;0,86;0,82;0,91
2020-08-22;0,92;0,86;0,97
2020-08-23;0,91;0,86;0,96
2020-08-24;0,93;0,88;0,98
2020-08-25;0,97;0,92;1,02
2020-08-26;0,99;0,95;1,03
2020-08-27;0,96;0,93;1
2020-08-28;0,97;0,93;1
2020-08-29;0,95;0,92;0,99
2020-08-30;0,99;0,95;1,02
2020-08-31;0,98;0,95;1,02
2020-09-01;0,98;0,95;1,01
2020-09-02;1,01;0,98;1,05
2020-09-03;1,03;1;1,06
2020-09-04;1,03;1;1,07
2020-09-05;1,03;1;1,07
2020-09-06;1,02;0,98;1,06
2020-09-07;1,01;0,98;1,05
2020-09-08;0,99;0,96;1,02
2020-09-09;1;0,97;1,04
2020-09-10;0,99;0,96;1,02
2020-09-11;0,94;0,91;0,98
2020-09-12;0,94;0,91;0,98
2020-09-13;0,91;0,88;0,95
2020-09-14;0,93;0,88;0,97
2020-09-15;0,93;0,89;0,98
2020-09-16;0,9;0,86;0,94
2020-09-17;0,92;0,87;0,96
2020-09-18;0,92;0,88;0,97
2020-09-19;0,91;0,86;0,95
2020-09-20;0,91;0,86;0,96
2020-09-21;0,84;0,8;0,89
2020-09-22;0,83;0,78;0,89
2020-09-23;0,85;0,79;0,91
2020-09-24;0,86;0,8;0,92
2020-09-25;0,9;0,83;0,96
2020-09-26;0,95;0,89;1,02
2020-09-27;0,95;0,9;1
2020-09-28;1,05;1;1,1
2020-09-29;1,08;1,03;1,12
2020-09-30;1,11;1,07;1,16
2020-10-01;1,1;1,05;1,16
2020-10-02;1,09;1,04;1,15
2020-10-03;1,01;0,96;1,07
2020-10-04;0,98;0,94;1,02
2020-10-05;0,96;0,92;0,99
2020-10-06;0,94;0,91;0,98
2020-10-07;0,89;0,85;0,93
2020-10-08;0,87;0,82;0,91
2020-10-09;0,87;0,82;0,92
2020-10-10;0,9;0,84;0,96
2020-10-11;0,93;0,87;0,98
2020-10-12;0,92;0,86;0,97
2020-10-13;0,95;0,89;1
2020-10-14;0,94;0,89;0,99
2020-10-15;0,92;0,88;0,97
2020-10-16;0,92;0,87;0,97
2020-10-17;0,95;0,9;1
2020-10-18;0,96;0,92;1,01
2020-10-19;1,01;0,96;1,05
2020-10-20;1;0,96;1,04
2020-10-21;1;0,95;1,04
2020-10-22;1,05;1,01;1,09
2020-10-23;1,03;0,98;1,07
2020-10-24;1,01;0,97;1,06
2020-10-25;1;0,95;1,04
2020-10-26;0,97;0,93;1,01
2020-10-27;0,93;0,89;0,97
2020-10-28;0,94;0,9;0,98
2020-10-29;0,94;0,9;0,99
2020-10-30;0,93;0,88;0,98
2020-10-31;0,96;0,91;1,01
2020-11-01;0,96;0,91;1
2020-11-02;0,95;0,9;1
2020-11-03;0,99;0,94;1,04
2020-11-04;0,97;0,92;1,01
2020-11-05;0,98;0,93;1,02
2020-11-06;1,02;0,98;1,07
2020-11-07;0,97;0,93;1,01
2020-11-08;0,98;0,93;1,02
2020-11-09;0,95;0,91;1
2020-11-10;0,95;0,9;0,99
2020-11-11;0,94;0,9;0,99
2020-11-12;0,93;0,88;0,98
2020-11-13;0,9;0,85;0,94
2020-11-14;0,92;0,87;0,97
2020-11-15;0,95;0,9;1,01
2020-11-16;0,97;0,92;1,02
2020-11-17;0,96;0,91;1,01
2020-11-18;1;0,95;1,05
2020-11-19;1,01;0,96;1,05
2020-11-20;1,03;0,99;1,08
2020-11-21;1,04;1;1,09
2020-11-22;1;0,96;1,05
2020-11-23;1,03;0,99;1,08
2020-11-24;1,06;1,01;1,1
2020-11-25;1,06;1,01;1,11
2020-11-26;1,03;0,98;1,09
2020-11-27;1,03;0,98;1,08
2020-11-28;1,07;1,02;1,12
2020-11-29;1,08;1,03;1,14
2020-11-30;1,06;1;1,11
2020-12-01;1,04;0,99;1,1
2020-12-02;1,05;1;1,1
2020-12-03;1,05;1;1,1
2020-12-04;1,11;1,05;1,16
2020-12-05;1,08;1,02;1,13
2020-12-06;1,11;1,05;1,16
2020-12-07;1,1;1,03;1,16
2020-12-08;1,14;1,08;1,2
2020-12-09;1,14;1,08;1,21
2020-12-10;1,15;1,08;1,22
2020-12-11;1,07;1;1,14
2020-12-12;1,07;1,01;1,13
2020-12-13;1,07;1,02;1,12
2020-12-14;1,12;1,07;1,18
2020-12-15;1,11;1,05;1,17
2020-12-16;1,08;1,03;1,14
2020-12-17;1,11;1,05;1,17
2020-12-18;1,2;1,14;1,26
2020-12-19;1,18;1,11;1,26
2020-12-20;1,17;1,08;1,25
