nombre;Metropolitana
2020-03-03;0
2020-03-04;1
2020-03-05;2
2020-03-06;3
2020-03-07;4
2020-03-08;6
2020-03-09;9
2020-03-10;10
2020-03-11;14
2020-03-12;23
2020-03-13;29
2020-03-14;40
2020-03-15;54
2020-03-16;123
2020-03-17;152
2020-03-18;174
2020-03-19;247
2020-03-20;304
2020-03-21;359
2020-03-22;409
2020-03-23;459
2020-03-24;540
2020-03-25;682
2020-03-26;746
2020-03-27;938
2020-03-28;1084
2020-03-29;1167
2020-03-30;1295
2020-03-31;1420
2020-04-01;1521
2020-04-02;1636
2020-04-03;1742
2020-04-04;1957
2020-04-05;2102
2020-04-06;2244
2020-04-07;2350
2020-04-08;2548
2020-04-09;2832
2020-04-10;3193
2020-04-11;3448
2020-04-12;3599
2020-04-13;3803
2020-04-14;4086
2020-04-15;4334
2020-04-16;4682
2020-04-17;4915
2020-04-18;5192
2020-04-19;5381
2020-04-20;5643
2020-04-21;5788
2020-04-22;6083
2020-04-23;6434
2020-04-24;6761
2020-04-25;7165
2020-04-26;7496
2020-04-27;7858
2020-04-28;8300
2020-04-29;8889
2020-04-30;9625
2020-05-01;10516
2020-05-02;11661
2020-05-03;12656
2020-05-04;13528
2020-05-05;14707
2020-05-06;15582
2020-05-07;16828
2020-05-08;17979
2020-05-09;18957
2020-05-10;20353
2020-05-11;21317
2020-05-12;22709
2020-05-13;24965
2020-05-14;27216
2020-05-15;29276
2020-05-16;30794
2020-05-17;32684
2020-05-18;34451
2020-05-19;37591
2020-05-20;41179
2020-05-21;44641
2020-05-22;48350
2020-05-23;51399
2020-05-24;54544
2020-05-25;58930
2020-05-26;62285
2020-05-27;66011
2020-05-28;69915
2020-05-29;72910
2020-05-30;76251
2020-05-31;80504
2020-06-01;85239
2020-06-02;88194
2020-06-03;92191
2020-06-04;95890
2020-06-05;99066
2020-06-06;103194
2020-06-07;108462
2020-06-08;112136
2020-06-09;115126
2020-06-10;119746
2020-06-11;124135
2020-06-12;129694
2020-06-13;134751
2020-06-14;140398
2020-06-15;144280
2020-06-16;148302
2020-06-17;180532
2020-06-18;183553
2020-06-19;187974
2020-06-20;191577
2020-06-21;195366
2020-06-22;198392
2020-06-23;200861
2020-06-24;203211
2020-06-25;206246
2020-06-26;208862
2020-06-27;211819
2020-06-28;214388
2020-06-29;216896
2020-06-30;219151
2020-07-01;220467
2020-07-02;221820
2020-07-03;223892
2020-07-04;226128
2020-07-05;228208
2020-07-06;229856
2020-07-07;231171
2020-07-08;232158
2020-07-09;233845
2020-07-10;235370
2020-07-11;236699
2020-07-12;238360
2020-07-13;239791
2020-07-14;240655
2020-07-15;241345
2020-07-16;242572
2020-07-17;244073
2020-07-18;245161
2020-07-19;245983
2020-07-20;246946
2020-07-21;247622
2020-07-22;248352
2020-07-23;249355
2020-07-24;250420
2020-07-25;251317
2020-07-26;252122
2020-07-27;253028
2020-07-28;253688
2020-07-29;254354
2020-07-30;255020
2020-07-31;255841
2020-08-01;256628
2020-08-02;257394
2020-08-03;258080
2020-08-04;258579
2020-08-05;259224
2020-08-06;259922
2020-08-07;260657
2020-08-08;261361
2020-08-09;262056
2020-08-10;262647
2020-08-11;263095
2020-08-12;263567
2020-08-13;264222
2020-08-14;264989
2020-08-15;265515
2020-08-16;266162
2020-08-17;266656
2020-08-18;267000
2020-08-19;267327
2020-08-20;267924
2020-08-21;268476
2020-08-22;269118
2020-08-23;269691
2020-08-24;270199
2020-08-25;270658
2020-08-26;271016
2020-08-27;271486
2020-08-28;272039
2020-08-29;272598
2020-08-30;273239
2020-08-31;273720
2020-09-01;274145
2020-09-02;274611
2020-09-03;275138
2020-09-04;275710
2020-09-05;276282
2020-09-06;276900
2020-09-07;277374
2020-09-08;277726
2020-09-09;278241
2020-09-10;278713
2020-09-11;279129
2020-09-12;279672
2020-09-13;280152
2020-09-14;280615
2020-09-15;280938
2020-09-16;281280
2020-09-17;281734
2020-09-18;282119
2020-09-19;282535
2020-09-20;282989
2020-09-21;283189
2020-09-22;283412
2020-09-23;283748
2020-09-24;284147
2020-09-25;284591
2020-09-26;285095
2020-09-27;285508
2020-09-28;285939
2020-09-29;286236
2020-09-30;286701
2020-10-01;287116
2020-10-02;287583
2020-10-03;287903
2020-10-04;288266
2020-10-05;288628
2020-10-06;288872
2020-10-07;289158
2020-10-08;289470
2020-10-09;289899
2020-10-10;290232
2020-10-11;290596
2020-10-12;290908
2020-10-13;291182
2020-10-14;291433
2020-10-15;291676
2020-10-16;292059
2020-10-17;292430
2020-10-18;292804
2020-10-19;293194
2020-10-20;293436
2020-10-21;293680
2020-10-22;294031
2020-10-23;294373
2020-10-24;294729
2020-10-25;295067
2020-10-26;295404
2020-10-27;295546
2020-10-28;295796
2020-10-29;296129
2020-10-30;296419
2020-10-31;296812
2020-11-01;297119
2020-11-02;297423
2020-11-03;297630
2020-11-04;297806
2020-11-05;298153
2020-11-06;298521
2020-11-07;298817
2020-11-08;299139
2020-11-09;299382
2020-11-10;299569
2020-11-11;299726
2020-11-12;300026
2020-11-13;300290
2020-11-14;300603
2020-11-15;300954
2020-11-16;301207
2020-11-17;301364
2020-11-18;301575
2020-11-19;301884
2020-11-20;302198
2020-11-21;302540
2020-11-22;302827
2020-11-23;303145
2020-11-24;303349
2020-11-25;303588
2020-11-26;303852
2020-11-27;304181
2020-11-28;304601
2020-11-29;304916
2020-11-30;305218
2020-12-01;305412
2020-12-02;305689
2020-12-03;305995
2020-12-04;306462
2020-12-05;306862
2020-12-06;307311
2020-12-07;307625
2020-12-08;307966
2020-12-09;308319
2020-12-10;308692
2020-12-11;309047
2020-12-12;309491
2020-12-13;309969
2020-12-14;310468
2020-12-15;310828
2020-12-16;311182
2020-12-17;311670
2020-12-18;312320
2020-12-19;312847
2020-12-20;313373
2020-12-21;313791
2020-12-22;314135
2020-12-23;314583
2020-12-24;315148
2020-12-25;315724
2020-12-26;316304
2020-12-27;316710
2020-12-28;317210
2020-12-29;317700
2020-12-30;318263
2020-12-31;319054
2021-01-01;319937
2021-01-02;320809
2021-01-03;321248
2021-01-04;321724
2021-01-05;322355
2021-01-06;322909
2021-01-07;323726
2021-01-08;324650
2021-01-09;325580
2021-01-10;326465
2021-01-11;327287
2021-01-12;327921
2021-01-13;328631
2021-01-14;329427
2021-01-15;330251
2021-01-16;331131
2021-01-17;331935
2021-01-18;332646
2021-01-19;333217
2021-01-20;333879
2021-01-21;334764
2021-01-22;335669
2021-01-23;336483
2021-01-24;337533
2021-01-25;338398
2021-01-26;339021
2021-01-27;339671
2021-01-28;340663
2021-01-29;341529
2021-01-30;342453
2021-01-31;343193
2021-02-01;343889
2021-02-02;344391
2021-02-03;344925
2021-02-04;345608
2021-02-05;346283
2021-02-06;347194
2021-02-07;348022
2021-02-08;348716
2021-02-09;349282
2021-02-10;349861
2021-02-11;350679
2021-02-12;351567
2021-02-13;352483
2021-02-14;353343
2021-02-15;354078
2021-02-16;354731
2021-02-17;355276
2021-02-18;356216
2021-02-19;357108
2021-02-20;357924
2021-02-21;358729
2021-02-22;359659
2021-02-23;360251
2021-02-24;360908
2021-02-25;361991
2021-02-26;363065
2021-02-27;364151
2021-02-28;365272
2021-03-01;366339
2021-03-02;366852
